Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
RB,Todd Gurley II,10000,LAR@DEN 10/14/2018 04:05PM ET,29.3,LAR
WR,Antonio Brown,8700,PIT@CIN 10/14/2018 01:00PM ET,21.06,PIT
WR,Adam Thielen,8500,ARI@MIN 10/14/2018 01:00PM ET,27.78,MIN
RB,Le'Veon Bell,8500,PIT@CIN 10/14/2018 01:00PM ET,0,PIT
RB,Christian McCaffrey,8300,CAR@WAS 10/14/2018 01:00PM ET,22.52,CAR
RB,Melvin Gordon III,8200,LAC@CLE 10/14/2018 01:00PM ET,26.7,LAC
WR,Mike Evans,8100,TB@ATL 10/14/2018 01:00PM ET,23.65,TB
WR,A.J. Green,8000,PIT@CIN 10/14/2018 01:00PM ET,19.78,CIN
WR,Julio Jones,7900,TB@ATL 10/14/2018 01:00PM ET,19.5,ATL
RB,James Conner,7700,PIT@CIN 10/14/2018 01:00PM ET,23.82,PIT
WR,DeAndre Hopkins,7700,BUF@HOU 10/14/2018 01:00PM ET,23.54,HOU
WR,Stefon Diggs,7600,ARI@MIN 10/14/2018 01:00PM ET,21.32,MIN
RB,Joe Mixon,7500,PIT@CIN 10/14/2018 01:00PM ET,18.7,CIN
WR,Keenan Allen,7500,LAC@CLE 10/14/2018 01:00PM ET,15.54,LAC
WR,JuJu Smith-Schuster,7300,PIT@CIN 10/14/2018 01:00PM ET,20.2,PIT
WR,Brandin Cooks,7000,LAR@DEN 10/14/2018 04:05PM ET,16.96,LAR
RB,Ezekiel Elliott,7000,JAX@DAL 10/14/2018 04:25PM ET,21.7,DAL
WR,Robert Woods,6900,LAR@DEN 10/14/2018 04:05PM ET,20.34,LAR
QB,Matt Ryan,6800,TB@ATL 10/14/2018 01:00PM ET,26.47,ATL
WR,Will Fuller V,6800,BUF@HOU 10/14/2018 01:00PM ET,17.7,HOU
QB,Kirk Cousins,6700,ARI@MIN 10/14/2018 01:00PM ET,24.94,MIN
WR,Emmanuel Sanders,6700,LAR@DEN 10/14/2018 04:05PM ET,18.38,DEN
WR,Jarvis Landry,6600,LAC@CLE 10/14/2018 01:00PM ET,16.22,CLE
QB,Ben Roethlisberger,6500,PIT@CIN 10/14/2018 01:00PM ET,25.09,PIT
RB,Jordan Howard,6500,CHI@MIA 10/14/2018 01:00PM ET,11.02,CHI
WR,Cooper Kupp,6500,LAR@DEN 10/14/2018 04:05PM ET,21.62,LAR
RB,Leonard Fournette,6500,JAX@DAL 10/14/2018 04:25PM ET,6.5,JAX
WR,T.Y. Hilton,6400,IND@NYJ 10/14/2018 01:00PM ET,16.35,IND
QB,Deshaun Watson,6400,BUF@HOU 10/14/2018 01:00PM ET,25.79,HOU
RB,T.J. Yeldon,6400,JAX@DAL 10/14/2018 04:25PM ET,18.04,JAX
WR,Calvin Ridley,6300,TB@ATL 10/14/2018 01:00PM ET,17.9,ATL
QB,Andy Dalton,6300,PIT@CIN 10/14/2018 01:00PM ET,21.58,CIN
QB,Andrew Luck,6200,IND@NYJ 10/14/2018 01:00PM ET,23.59,IND
QB,Cam Newton,6100,CAR@WAS 10/14/2018 01:00PM ET,24.46,CAR
RB,Chris Thompson,6100,CAR@WAS 10/14/2018 01:00PM ET,15.5,WAS
RB,Devonta Freeman,6000,TB@ATL 10/14/2018 01:00PM ET,7.05,ATL
WR,Tyler Boyd,6000,PIT@CIN 10/14/2018 01:00PM ET,17.56,CIN
QB,Jared Goff,6000,LAR@DEN 10/14/2018 04:05PM ET,26.16,LAR
WR,DeSean Jackson,5900,TB@ATL 10/14/2018 01:00PM ET,21.6,TB
RB,David Johnson,5900,ARI@MIN 10/14/2018 01:00PM ET,16.04,ARI
QB,Philip Rivers,5900,LAC@CLE 10/14/2018 01:00PM ET,23.96,LAC
QB,Jameis Winston,5800,TB@ATL 10/14/2018 01:00PM ET,8.5,TB
WR,Demaryius Thomas,5800,LAR@DEN 10/14/2018 04:05PM ET,13.46,DEN
WR,Corey Davis,5800,BAL@TEN 10/14/2018 04:25PM ET,14.22,TEN
QB,Russell Wilson,5700,SEA@OAK 10/14/2018 01:00PM ET,16.73,SEA
RB,Dalvin Cook,5700,ARI@MIN 10/14/2018 01:00PM ET,9.5,MIN
WR,Allen Robinson II,5700,CHI@MIA 10/14/2018 01:00PM ET,11.68,CHI
WR,Quincy Enunwa,5600,IND@NYJ 10/14/2018 01:00PM ET,10.96,NYJ
QB,Blake Bortles,5600,JAX@DAL 10/14/2018 04:25PM ET,23.32,JAX
QB,Baker Mayfield,5500,LAC@CLE 10/14/2018 01:00PM ET,16.21,CLE
RB,LeSean McCoy,5500,BUF@HOU 10/14/2018 01:00PM ET,8.35,BUF
QB,Case Keenum,5500,LAR@DEN 10/14/2018 04:05PM ET,16.24,DEN
WR,John Brown,5500,BAL@TEN 10/14/2018 04:25PM ET,16,BAL
RB,Tevin Coleman,5400,TB@ATL 10/14/2018 01:00PM ET,11.88,ATL
QB,Alex Smith,5400,CAR@WAS 10/14/2018 01:00PM ET,16.54,WAS
TE,Eric Ebron,5400,IND@NYJ 10/14/2018 01:00PM ET,16.9,IND
QB,Marcus Mariota,5400,BAL@TEN 10/14/2018 04:25PM ET,13.06,TEN
RB,Marshawn Lynch,5300,SEA@OAK 10/14/2018 01:00PM ET,14.62,OAK
WR,Doug Baldwin,5300,SEA@OAK 10/14/2018 01:00PM ET,3.4,SEA
QB,Sam Darnold,5300,IND@NYJ 10/14/2018 01:00PM ET,13.79,NYJ
QB,Mitchell Trubisky,5300,CHI@MIA 10/14/2018 01:00PM ET,21.38,CHI
TE,Jordan Reed,5200,CAR@WAS 10/14/2018 01:00PM ET,9.72,WAS
WR,Amari Cooper,5200,SEA@OAK 10/14/2018 01:00PM ET,12.58,OAK
QB,Joe Flacco,5200,BAL@TEN 10/14/2018 04:25PM ET,19.66,BAL
QB,Derek Carr,5100,SEA@OAK 10/14/2018 01:00PM ET,19.43,OAK
WR,Tyler Lockett,5100,SEA@OAK 10/14/2018 01:00PM ET,15.96,SEA
RB,Nyheim Hines,5100,IND@NYJ 10/14/2018 01:00PM ET,14.66,IND
QB,Ryan Fitzpatrick,5000,TB@ATL 10/14/2018 01:00PM ET,28.61,TB
TE,Jared Cook,5000,SEA@OAK 10/14/2018 01:00PM ET,17.4,OAK
RB,Isaiah Crowell,5000,IND@NYJ 10/14/2018 01:00PM ET,16.92,NYJ
WR,Dede Westbrook,5000,JAX@DAL 10/14/2018 04:25PM ET,13.48,JAX
WR,Devin Funchess,4900,CAR@WAS 10/14/2018 01:00PM ET,11.95,CAR
WR,Jordy Nelson,4900,SEA@OAK 10/14/2018 01:00PM ET,14.94,OAK
RB,Carlos Hyde,4900,LAC@CLE 10/14/2018 01:00PM ET,14.74,CLE
QB,Ryan Tannehill,4900,CHI@MIA 10/14/2018 01:00PM ET,14.4,MIA
WR,Mohamed Sanu,4800,TB@ATL 10/14/2018 01:00PM ET,12.46,ATL
RB,Adrian Peterson,4800,CAR@WAS 10/14/2018 01:00PM ET,16.2,WAS
RB,Javorius Allen,4800,BAL@TEN 10/14/2018 04:25PM ET,13.34,BAL
WR,Keelan Cole,4800,JAX@DAL 10/14/2018 04:25PM ET,11.9,JAX
QB,Josh Rosen,4700,ARI@MIN 10/14/2018 01:00PM ET,8.21,ARI
RB,Latavius Murray,4700,ARI@MIN 10/14/2018 01:00PM ET,5.52,MIN
QB,Josh Allen,4700,BUF@HOU 10/14/2018 01:00PM ET,12.68,BUF
RB,Lamar Miller,4700,BUF@HOU 10/14/2018 01:00PM ET,10.22,HOU
WR,Kenny Stills,4700,CHI@MIA 10/14/2018 01:00PM ET,11.82,MIA
RB,Dion Lewis,4700,BAL@TEN 10/14/2018 04:25PM ET,11.34,TEN
WR,Michael Crabtree,4700,BAL@TEN 10/14/2018 04:25PM ET,11,BAL
QB,Dak Prescott,4700,JAX@DAL 10/14/2018 04:25PM ET,13.51,DAL
WR,Jamison Crowder,4600,CAR@WAS 10/14/2018 01:00PM ET,8.98,WAS
WR,Robby Anderson,4600,IND@NYJ 10/14/2018 01:00PM ET,10.44,NYJ
WR,Ryan Grant,4600,IND@NYJ 10/14/2018 01:00PM ET,10.92,IND
TE,Jack Doyle,4600,IND@NYJ 10/14/2018 01:00PM ET,8,IND
WR,Keke Coutee,4600,BUF@HOU 10/14/2018 01:00PM ET,21,HOU
RB,Tarik Cohen,4600,CHI@MIA 10/14/2018 01:00PM ET,13.45,CHI
RB,Kenyan Drake,4600,CHI@MIA 10/14/2018 01:00PM ET,11.34,MIA
RB,Alex Collins,4600,BAL@TEN 10/14/2018 04:25PM ET,10.88,BAL
QB,Ryan Griffin,4500,TB@ATL 10/14/2018 01:00PM ET,0,TB
QB,Jacoby Brissett,4500,IND@NYJ 10/14/2018 01:00PM ET,0,IND
RB,Bilal Powell,4500,IND@NYJ 10/14/2018 01:00PM ET,10.38,NYJ
WR,Chester Rogers,4500,IND@NYJ 10/14/2018 01:00PM ET,9.2,IND
QB,Sam Bradford,4500,ARI@MIN 10/14/2018 01:00PM ET,6.23,ARI
WR,Larry Fitzgerald,4500,ARI@MIN 10/14/2018 01:00PM ET,6.92,ARI
QB,Mason Rudolph,4500,PIT@CIN 10/14/2018 01:00PM ET,0,PIT
QB,Joshua Dobbs,4500,PIT@CIN 10/14/2018 01:00PM ET,-0.3,PIT
RB,Giovani Bernard,4500,PIT@CIN 10/14/2018 01:00PM ET,13.82,CIN
QB,Tyrod Taylor,4500,LAC@CLE 10/14/2018 01:00PM ET,14.33,CLE
QB,Chase Daniel,4500,CHI@MIA 10/14/2018 01:00PM ET,-0.2,CHI
TE,Trey Burton,4500,CHI@MIA 10/14/2018 01:00PM ET,10.2,CHI
QB,Chad Kelly,4500,LAR@DEN 10/14/2018 04:05PM ET,0,DEN
RB,Phillip Lindsay,4500,LAR@DEN 10/14/2018 04:05PM ET,12.46,DEN
QB,Blaine Gabbert,4500,BAL@TEN 10/14/2018 04:25PM ET,4.29,TEN
QB,Robert Griffin III,4500,BAL@TEN 10/14/2018 04:25PM ET,0,BAL
QB,Lamar Jackson,4500,BAL@TEN 10/14/2018 04:25PM ET,1.63,BAL
QB,Matt Schaub,4400,TB@ATL 10/14/2018 01:00PM ET,0.55,ATL
WR,Chris Godwin,4400,TB@ATL 10/14/2018 01:00PM ET,12.82,TB
QB,Colt McCoy,4400,CAR@WAS 10/14/2018 01:00PM ET,0,WAS
RB,Chris Carson,4400,SEA@OAK 10/14/2018 01:00PM ET,13.1,SEA
QB,Trevor Siemian,4400,ARI@MIN 10/14/2018 01:00PM ET,0,MIN
TE,Kyle Rudolph,4400,ARI@MIN 10/14/2018 01:00PM ET,11.58,MIN
RB,Alfred Blue,4400,BUF@HOU 10/14/2018 01:00PM ET,7.78,HOU
QB,Sean Mannion,4400,LAR@DEN 10/14/2018 04:05PM ET,0,LAR
WR,Donte Moncrief,4400,JAX@DAL 10/14/2018 04:25PM ET,11.38,JAX
TE,Greg Olsen,4300,CAR@WAS 10/14/2018 01:00PM ET,5.3,CAR
QB,AJ McCarron,4300,SEA@OAK 10/14/2018 01:00PM ET,0,OAK
QB,Brett Hundley,4300,SEA@OAK 10/14/2018 01:00PM ET,0,SEA
QB,Josh McCown,4300,IND@NYJ 10/14/2018 01:00PM ET,0,NYJ
QB,Mike Glennon,4300,ARI@MIN 10/14/2018 01:00PM ET,0,ARI
RB,Chase Edmonds,4300,ARI@MIN 10/14/2018 01:00PM ET,3.36,ARI
QB,Geno Smith,4300,LAC@CLE 10/14/2018 01:00PM ET,-0.1,LAC
WR,Mike Williams,4300,LAC@CLE 10/14/2018 01:00PM ET,11.64,LAC
QB,Brandon Weeden,4300,BUF@HOU 10/14/2018 01:00PM ET,0,HOU
QB,Brock Osweiler,4300,CHI@MIA 10/14/2018 01:00PM ET,6.1,MIA
WR,Taylor Gabriel,4300,CHI@MIA 10/14/2018 01:00PM ET,14.75,CHI
RB,Malcolm Brown,4300,LAR@DEN 10/14/2018 04:05PM ET,3.02,LAR
WR,Christian Kirk,4200,ARI@MIN 10/14/2018 01:00PM ET,9.92,ARI
QB,Jeff Driskel,4200,PIT@CIN 10/14/2018 01:00PM ET,0,CIN
RB,Austin Ekeler,4200,LAC@CLE 10/14/2018 01:00PM ET,14.4,LAC
QB,Cooper Rush,4200,JAX@DAL 10/14/2018 04:25PM ET,0,DAL
QB,Cody Kessler,4200,JAX@DAL 10/14/2018 04:25PM ET,0,JAX
WR,Paul Richardson Jr.,4100,CAR@WAS 10/14/2018 01:00PM ET,9.28,WAS
RB,Mike Davis,4100,SEA@OAK 10/14/2018 01:00PM ET,12.45,SEA
