rank,team,dvoa,lastWeek,dave,dRank,passDef,passRank,passCoefficient,rushDef,rushRank,rushCoefficient,variance
1,CHI,-31.50%,1,-15.30%,1,-33.50%,1,-0.335,-28.10%,3,-0.281,1.60%
2,CLE,-20.00%,4,-13.40%,2,-19.60%,2,-0.196,-20.60%,8,-0.206,1.50%
3,JAX,-16.90%,2,-10.90%,4,-12.90%,3,-0.129,-21.90%,7,-0.219,1.80%
4,BAL,-15.90%,3,-11.10%,3,-9.60%,4,-0.096,-26.40%,4,-0.264,5.50%
5,MIA,-12.40%,7,-6.60%,5,-7.00%,5,-0.07,-19.00%,9,-0.19,3.80%
6,NYJ,-9.30%,5,-5.70%,6,-6.90%,6,-0.069,-13.10%,15,-0.131,6.40%
7,BUF,-9.00%,14,-2.70%,12,-6.30%,7,-0.063,-13.20%,14,-0.132,8.20%
8,ARI,-7.10%,11,-5.10%,7,0.30%,12,0.003,-13.70%,12,-0.137,1.90%
9,SEA,-7.10%,6,-4.80%,8,-3.50%,8,-0.035,-11.10%,17,-0.111,2.90%
10,HOU,-3.30%,18,-3.80%,9,20.50%,25,0.205,-33.00%,2,-0.33,4.20%
11,PHI,-2.90%,8,-3.60%,10,6.60%,15,0.066,-22.70%,6,-0.227,10.40%
12,TEN,-2.90%,15,-1.50%,13,1.40%,13,0.014,-7.70%,20,-0.077,4.20%
13,IND,-1.20%,10,0.90%,18,7.80%,17,0.078,-13.40%,13,-0.134,1.70%
14,LAR,-0.80%,9,-3.30%,11,-2.20%,9,-0.022,1.20%,28,0.012,7.30%
15,DAL,0.00%,20,0.00%,15,18.80%,24,0.188,-22.90%,5,-0.229,3.60%
16,PIT,0.00%,19,-1.40%,14,6.50%,14,0.065,-10.70%,18,-0.107,12.00%
17,GB,0.00%,13,0.20%,16,0.00%,11,0,0.10%,27,0.001,14.00%
18,LAC,0.50%,21,0.80%,17,6.60%,16,0.066,-7.50%,21,-0.075,2.60%
19,NE,1.70%,16,0.90%,19,10.30%,21,0.103,-11.10%,16,-0.111,4.70%
20,CIN,3.50%,23,2.20%,22,10.00%,20,0.1,-6.40%,23,-0.064,5.80%
21,SF,3.60%,22,3.30%,25,15.90%,23,0.159,-15.00%,10,-0.15,1.20%
22,DEN,3.80%,17,1.20%,20,8.20%,18,0.082,-1.90%,26,-0.019,3.60%
23,WAS,4.20%,12,2.90%,24,-0.60%,10,-0.006,10.90%,30,0.109,3.70%
24,NYG,5.40%,28,6.00%,27,12.00%,22,0.12,-2.00%,25,-0.02,5.50%
25,NO,6.50%,29,1.70%,21,34.50%,31,0.345,-36.50%,1,-0.365,8.90%
26,MIN,8.90%,25,2.60%,23,23.20%,26,0.232,-10.20%,19,-0.102,12.20%
26,CAR,8.90%,24,3.70%,26,23.30%,27,0.233,-14.30%,11,-0.143,2.40%
28,KC,13.30%,31,9.50%,28,9.30%,19,0.093,21.50%,32,0.215,3.50%
29,OAK,15.80%,26,11.40%,29,33.80%,30,0.338,-5.60%,24,-0.056,8.00%
30,DET,17.10%,27,12.90%,30,29.50%,29,0.295,2.70%,29,0.027,4.40%
31,ATL,21.10%,30,13.90%,31,28.40%,28,0.284,11.30%,31,0.113,3.30%
32,TB,27.80%,32,15.60%,32,48.60%,32,0.486,-6.70%,22,-0.067,6.10%
